state,state_n,county,county_n,countynm_e,death_sentence,execution
"01",1,"009",9,"Blount",5,2
"01",1,"015",15,"Calhoun",5,1
"01",1,"021",21,"Chilton",1,1
"01",1,"053",53,"Escambia",2,0
"01",1,"073",73,"Jefferson",1,3
"01",1,"081",81,"Lee",2,1
"01",1,"083",83,"Limestone",2,1
"01",1,"095",95,"Marshall",3,4
"01",1,"097",97,"Mobile",4,1
"01",1,"103",103,"Morgan",6,3
"01",1,"115",115,"St. Clair",1,1
"01",1,"127",127,"Walker",3,0
"04",4,"003",3,"Cochise",5,2
"04",4,"013",13,"Maricopa",7,3
"04",4,"019",19,"Pima",2,5
"04",4,"025",25,"Yavapai",0,1
"05",5,"055",55,"Greene",1,0
"05",,"077",77,"Lee",1,0
"06",6,"001",1,"Alameda",4,0
"06",6,"017",17,"El Dorado",4,1
"06",,"027",27,"Indio",1,0
"06",6,"029",29,"Kern",6,6
"06",6,"031",31,"Kings",9,0
"06",6,"037",37,"Los Angeles",17,0
"06",6,"041",41,"Marin",3,1
"06",6,"059",59,"Orange",5,1
"06",6,"065",65,"Riverside",12,1
"06",6,"067",67,"Sacramento",3,1
"06",6,"071",71,"San Bernardino",4,1
"06",6,"111",111,"Ventura",2,0
"06",6,"113",113,"Yolo",7,9
"12",12,"005",5,"Bay",1,0
"12",12,"007",7,"Bradford",1,1
"12",12,"011",11,"Broward",1,2
"12",12,"023",23,"Columbia",1,1
"12",12,"033",33,"Escambia",2,1
"12",12,"039",39,"Gadsden",4,0
"12",12,"057",57,"Hillsborough",3,0
"12",12,"069",69,"Lake",1,2
"12",12,"086",86,"Miami-Dade",2,3
"12",12,"089",89,"Nassau",4,0
"12",12,"093",93,"Okeechobee",1,0
"12",12,"099",99,"Palm Beach",3,3
"12",12,"101",101,"Pasco",5,1
"12",12,"105",105,"Polk",3,1
"12",12,"107",107,"Putnam",1,1
"12",12,"117",117,"Seminole",1,0
"12",12,"119",119,"Sumter",2,0
"12",12,"131",131,"Walton",2,0
"13",13,"121",121,"Fulton",1,0
"13",13,"175",175,"Laurens",0,1
"13",13,"177",177,"Lee",0,1
"13",13,"207",207,"Monroe",0,1
"13",13,"217",217,"Newton",2,0
"13",13,"245",245,"Richmond",2,2
"18",18,"043",43,"Floyd",3,0
"28",28,"035",35,"Forrest",0,3
"28",28,"045",45,"Hancock",1,1
"28",28,"049",49,"Hinds",2,0
"28",28,"137",137,"Tate",0,2
"28",28,"145",145,"Union",1,0
"29",29,"047",47,"Clay",1,1
"29",29,"051",51,"Cole",3,0
"29",29,"161",161,"Phelps",1,0
"29",29,"183",183,"St. Charles",0,4
"29",29,"189",189,"St. Louis",0,4
"29",29,"221",221,"Washington",0,1
"39",39,"085",85,"Lake",1,1
"39",39,"133",133,"Portage",2,1
"39",39,"135",135,"Preble",0,1
"39",39,"139",139,"Richland",0,2
"39",39,"153",153,"Summit",2,1
"39",39,"155",155,"Trumbull",1,0
"39",39,"165",165,"Warren",1,0
"40",40,"079",79,"Le Flore",2,1
"40",40,"087",87,"McClain",1,0
"40",40,"109",109,"Oklahoma",2,5
"40",40,"143",143,"Tulsa",0,4
"42",42,"091",91,"Montgomery",1,0
"42",42,"129",129,"Westmoreland",3,0
"47",47,"157",157,"Shelby",2,0
"47",47,"167",167,"Tipton",1,0
"48",48,"141",141,"El Paso",1,0
"48",48,"201",201,"Harris",5,7
"48",48,"209",209,"Hays",1,0
"48",48,"215",215,"Hidalgo",0,1
"48",48,"231",231,"Hunt",1,0
"48",48,"251",251,"Johnson",1,0
"48",48,"257",257,"Kaufman",1,0
"48",,"289",289,"Leon",0,1
"48",48,"303",303,"Lubbock",1,2
"48",48,"309",309,"McLennan",3,1
"48",,"325",325,"San Antonio",0,1
"48",48,"339",339,"Montgomery",0,2
"48",48,"349",349,"Navarro",0,1
"48",48,"355",355,"Nueces",0,1
"48",48,"373",373,"Polk",0,1
"48",48,"423",423,"Smith",1,2
"48",48,"439",439,"Tarrant",3,2
"48",48,"453",453,"Travis",1,0
"48",48,"465",465,"Val Verde",0,1
"48",48,"469",469,"Victoria",0,1
"48",48,"491",491,"Williamson",1,0
"51",51,"195",195,"Wise",0,1
"53",53,"061",61,"Snohomish",1,0
